Exposure to risk (cohort 1x5), 	Last modified: 27 Aug 2026; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUS      1845-1849        0                    .               .               .
AUS      1845-1849        1                    .               .               .
AUS      1845-1849        2                    .               .               .
AUS      1845-1849        3                    .               .               .
AUS      1845-1849        4                    .               .               .
AUS      1845-1849        5                    .               .               .
AUS      1845-1849        6                    .               .               .
AUS      1845-1849        7                    .               .               .
AUS      1845-1849        8                    .               .               .
AUS      1845-1849        9                    .               .               .
AUS      1845-1849       10                    .               .               .
AUS      1845-1849       11                    .               .               .
AUS      1845-1849       12                    .               .               .
AUS      1845-1849       13                    .               .               .
AUS      1845-1849       14                    .               .               .
AUS      1845-1849       15                    .               .               .
AUS      1845-1849       16                    .               .               .
AUS      1845-1849       17                    .               .               .
AUS      1845-1849       18                    .               .               .
AUS      1845-1849       19                    .               .               .
AUS      1845-1849       20                    .               .               .
AUS      1845-1849       21                    .               .               .
AUS      1845-1849       22                    .               .               .
AUS      1845-1849       23                    .               .               .
AUS      1845-1849       24                    .               .               .
AUS      1845-1849       25                    .               .               .
AUS      1845-1849       26                    .               .               .
AUS      1845-1849       27                    .               .               .
AUS      1845-1849       28                    .               .               .
AUS      1845-1849       29                    .               .               .
AUS      1845-1849       30                    .               .               .
AUS      1845-1849       31                    .               .               .
AUS      1845-1849       32                    .               .               .
AUS      1845-1849       33                    .               .               .
AUS      1845-1849       34                    .               .               .
AUS      1845-1849       35                    .               .               .
AUS      1845-1849       36                    .               .               .
AUS      1845-1849       37                    .               .               .
AUS      1845-1849       38                    .               .               .
AUS      1845-1849       39                    .               .               .
AUS      1845-1849       40                    .               .               .
AUS      1845-1849       41                    .               .               .
AUS      1845-1849       42                    .               .               .
AUS      1845-1849       43                    .               .               .
AUS      1845-1849       44                    .               .               .
AUS      1845-1849       45                    .               .               .
AUS      1845-1849       46                    .               .               .
AUS      1845-1849       47                    .               .               .
AUS      1845-1849       48                    .               .               .
AUS      1845-1849       49                    .               .               .
AUS      1845-1849       50                    .               .               .
AUS      1845-1849       51                    .               .               .
AUS      1845-1849       52                    .               .               .
AUS      1845-1849       53                    .               .               .
AUS      1845-1849       54                    .               .               .
AUS      1845-1849       55                    .               .               .
AUS      1845-1849       56                    .               .               .
AUS      1845-1849       57                    .               .               .
AUS      1845-1849       58                    .               .               .
AUS      1845-1849       59                    .               .               .
AUS      1845-1849       60                    .               .               .
AUS      1845-1849       61                    .               .               .
AUS      1845-1849       62                    .               .               .
AUS      1845-1849       63                    .               .               .
AUS      1845-1849       64                    .               .               .
AUS      1845-1849       65                    .               .               .
AUS      1845-1849       66                    .               .               .
AUS      1845-1849       67                    .               .               .
AUS      1845-1849       68                    .               .               .
AUS      1845-1849       69                    .               .               .
AUS      1845-1849       70                    .               .               .
AUS      1845-1849       71                    .               .               .
AUS      1845-1849       72                    .               .               .
AUS      1845-1849       73             12090.25        12633.81        24724.06
AUS      1845-1849       74             17031.84        17323.93        34355.77
AUS      1845-1849       75             21124.48        20972.32        42096.80
AUS      1845-1849       76             24323.09        23705.67        48028.76
AUS      1845-1849       77             22570.74        21724.82        44295.56
AUS      1845-1849       78             20826.71        19679.75        40506.46
AUS      1845-1849       79             18918.86        17460.13        36378.99
AUS      1845-1849       80             17893.83        15926.95        33820.77
AUS      1845-1849       81             16168.44        14008.75        30177.19
AUS      1845-1849       82             14537.40        12269.69        26807.09
AUS      1845-1849       83             12852.27        10521.05        23373.32
AUS      1845-1849       84             11158.45         8837.07        19995.52
AUS      1845-1849       85              9512.99         7295.45        16808.43
AUS      1845-1849       86              7967.59         5943.54        13911.13
AUS      1845-1849       87              6567.74         4736.34        11304.08
AUS      1845-1849       88              5367.29         3724.09         9091.38
AUS      1845-1849       89              4309.48         2897.38         7206.85
AUS      1845-1849       90              3393.35         2199.43         5592.79
AUS      1845-1849       91              2654.67         1648.31         4302.98
AUS      1845-1849       92              2037.74         1233.54         3271.28
AUS      1845-1849       93              1480.14          898.55         2378.69
AUS      1845-1849       94              1029.67          627.14         1656.80
AUS      1845-1849       95               709.09          425.19         1134.28
AUS      1845-1849       96               474.51          276.47          750.98
AUS      1845-1849       97               313.03          179.14          492.17
AUS      1845-1849       98               202.15          112.34          314.49
AUS      1845-1849       99               121.20           65.76          186.96
AUS      1845-1849      100                65.74           35.92          101.66
AUS      1845-1849      101                37.62           17.47           55.09
AUS      1845-1849      102                19.80            6.90           26.70
AUS      1845-1849      103                 9.01            1.59           10.61
AUS      1845-1849      104                 2.82            0.11            2.93
